"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
0.530803920481394,-0.113836749513476,0.374,0.354,1,"stable","Aftph","216549"
0.530922603439453,-0.115671202312284,0.027,0.023,1,"stable","Hottip","791364"
0.53092820902255,0.181540105705825,0.043,0.048,1,"stable","Slc7a4","224022"
0.5311212771949,-0.116435076520402,0.471,0.444,1,"stable","Zfp207","22680"
0.531400764433785,-0.174144395608126,0.118,0.109,1,"stable","Zxdb","668166"
0.531502021266268,-0.47427862627859,0.02,0.024,1,"stable","Sema3f","20350"
0.531537633445255,-0.619652667714754,0.067,0.073,1,"stable","AW554918","225289"
0.531854053791899,-0.190963185583693,0.159,0.168,1,"stable","Dlg3","53310"
0.532218613863135,-0.125653991864885,0.3,0.307,1,"stable","Ppp1r9a","243725"
0.5326263971002,-0.297447525927946,0.221,0.208,1,"stable","Rbfox2","93686"
0.532955452489668,0.187323062657734,0.073,0.067,1,"stable","Ctns","83429"
0.533317791985727,0.541072877452258,0.052,0.046,1,"stable","Gm15848","102640771"
0.533436519080609,0.156954125393073,0.03,0.026,1,"stable","Zfp933","242747"
0.533611411697228,0.428842704865386,0.069,0.064,1,"stable","Osbpl3","71720"
0.533697959054541,-0.244068452153381,0.42,0.412,1,"stable","Larp1b","214048"
0.534112152927571,0.249837844273116,0.126,0.12,1,"stable","Nt5dc1","319638"
0.534225945789109,-0.126906208862761,0.249,0.235,1,"stable","Apaf1","11783"
0.53445924550023,-0.957001482922205,0.017,0.02,1,"stable","Zfp112","57745"
0.534598026742813,-0.142847215160778,0.14,0.132,1,"stable","Txndc16","70561"
0.534632935166373,-0.169537796620121,0.312,0.321,1,"stable","Cdc73","214498"
0.534816451762933,1.46152913504407,0.024,0.021,1,"stable","Tpsg1","26945"
0.535079032916547,-0.122030575403206,0.237,0.227,1,"stable","Rnf121","75212"
0.535110569278828,-0.283549303499917,0.011,0.013,1,"stable","Gm14634","552913"
0.535219105859903,-0.335833027011047,0.036,0.041,1,"stable","Ift80","68259"
0.535582700684451,-0.279775515240114,0.195,0.18,1,"stable","Mink1","50932"
0.535807606943993,-0.650889791934323,0.027,0.031,1,"stable","Pstpip2","19201"
0.536017578358237,-0.106058516970264,0.103,0.096,1,"stable","Iqsec1","232227"
0.536337932917739,0.275772501265811,0.132,0.127,1,"stable","Macrod1","107227"
0.536433551270659,-0.228105224543032,0.115,0.123,1,"stable","Tagap1","380608"
0.536613085432218,-0.169970851946984,0.111,0.103,1,"stable","Deaf1","54006"
0.536851846822521,-0.135602679842989,0.258,0.244,1,"stable","Pick1","18693"
0.536862758968777,-0.232593584304917,0.142,0.132,1,"stable","Vps52","224705"
0.536916554095707,-0.273063238227029,0.149,0.157,1,"stable","Pnkp","59047"
0.537037739806433,-0.141642861902125,0.173,0.184,1,"stable","Prkg2","19092"
0.537508954726861,-0.144668339103547,0.22,0.227,1,"stable","Zfp830","66983"
0.537811358150584,0.70501371167544,0.053,0.048,1,"stable","Pcsk1","18548"
0.538140223457617,-0.197393701509744,0.336,0.343,1,"stable","Efna1","13636"
0.538233724090153,-0.113255052574161,0.259,0.247,1,"stable","Lmbrd2","320506"
0.538319329948141,-0.210175964626833,0.021,0.018,1,"stable","Ppp1r1a","58200"
0.538337439648418,-0.333515136483267,0.159,0.166,1,"stable","Caskin2","140721"
0.538456375223697,-0.105438327542786,0.159,0.149,1,"stable","Gosr2","56494"
0.538469478000516,-0.223951284643301,0.31,0.318,1,"stable","Mrps11","67994"
0.538798630282475,-0.18864548671917,0.067,0.073,1,"stable","Scin","20259"
0.538843086864816,-0.539753201983559,0.047,0.052,1,"stable","Pcx","18563"
0.539191618974436,-0.357804289336516,0.201,0.188,1,"stable","Zfp592","233410"
0.539222993258861,0.943217167042835,0.024,0.021,1,"stable","Cep112","76380"
0.539377643563534,1.49685899993029,0.017,0.014,1,"stable","Nyap1","243300"
0.539435701953036,-0.10692585539942,0.054,0.049,1,"stable","Mex3b","108797"
0.539699189359115,-0.15386807017355,0.272,0.281,1,"stable","Cers4","67260"
0.539760969135845,-0.171368916646775,0.44,0.411,1,"stable","Pabpc4","230721"
0.539868724146867,-0.110645562083491,0.384,0.362,1,"stable","Raph1","77300"
0.540031410455869,-0.696500936911596,0.011,0.013,1,"stable","Plp1","18823"
0.540141358611829,-0.123486294872123,0.142,0.15,1,"stable","Slc8b1","170756"
0.540209016078607,-0.229937000699909,0.47,0.464,1,"stable","Sec31a","69162"
0.540281466822964,-0.20529415996146,0.182,0.193,1,"stable","Blvra","109778"
0.540341926846164,0.382831668079363,0.021,0.018,1,"stable","0610009E02Rik","100125929"
0.540387380459873,-0.338652360024908,0.33,0.314,1,"stable","Kpna4","16649"
0.540598568353909,0.254127835655514,0.15,0.144,1,"stable","Hivep3","16656"
0.54068535317127,-0.61232825689207,0.148,0.155,1,"stable","Tlr3","142980"
0.540746901850391,0.44893775434251,0.021,0.018,1,"stable","Stk10","20868"
0.540891013037972,0.225433469000598,0.038,0.034,1,"stable","Gsap","212167"
0.541228481543034,-0.102185632671401,0.181,0.171,1,"stable","Fech","14151"
0.541295063814116,0.160410762576527,0.196,0.188,1,"stable","Fam174b","100038347"
0.541309182034666,-0.463213721180068,0.041,0.045,1,"stable","Stxbp1","20910"
0.541395447429167,-0.406820240221569,0.108,0.1,1,"stable","Klhl28","66689"
0.541642151520378,-0.895964274093052,0.034,0.039,1,"stable","Efhb","211482"
0.541833375919403,-0.240501030071113,0.233,0.238,1,"stable","Rassf4","213391"
0.541905336611112,-0.164575873651909,0.351,0.333,1,"stable","Slc25a28","246696"
0.542020481700483,-0.17116917783037,0.027,0.031,1,"stable","Gtf2ird2","114674"
