cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HMDB0000134	2.600558439	4.045145833	2.24951945	1.670543348	1.781073265	1.902636364	1.787071631	2.3471784	2.253374976	0.919729724	2.069497551	1.582301	2.017500778	1.3648586	1.393750685	1.687133206
HMDB0000138	0.017036298	0.027993056	0.017480747	0.030193122	0.027546716	0.025387013	0.035361546	0.0208222	0.00206218	0.028865354	0.023336533	0.0163828	0.012338521	0.0246764	0.04309589	0.014751284
HMDB0000139	0.086154628	0.3788875	0.101798428	0.24722733	0.118061055	0.080361039	0.092728558	0.0736848	0.133400758	0.336759252	0.13340999	0.066563	0.032387938	0.0610722	0.090793151	0.098061275
HMDB0000148	1.859043739	2.967176389	2.309264244	2.799459005	2.425207956	2.784435065	2.518826956	3.1963652	2.11523545	2.199989764	2.210181783	1.8486398	3.620537549	2.8010948	2.220384932	3.029528069
HMDB0000150	0.231907078	1.166433333	0.303031238	0.249771403	0.268147271	0.515971429	0.239567578	0.2015216	0.25170673	0.244203543	0.315434672	0.2329838	0.322766732	0.239477	0.240536986	0.296858611
HMDB0000152	1.00E-06	0.001183333	0.000420825	0.000437104	0.001343016	0.000003456	0.002524222	0.0015428	0.000460474	0.004975787	0.000507346	0.001099	1.92E-06	0.0006034	0.000594521	0.000716651
HMDB0000153	0.009272777	1.46E-06	4.48E-06	0.00380724	0.013063645	1.92E-06	0.00452328	0.0062398	2.16E-06	0.017989173	0.002708129	1.93E-06	3.26E-06	0.000903	0.001380822	0.004251951
HMDB0000156	4.750924138	9.088361111	6.326381336	5.255626606	5.311970398	6.131092208	3.784392648	5.3888996	5.504846445	4.107735039	5.779113614	5.125407	5.714823152	4.3367114	6.217238356	4.987519315
HMDB0000158	1.77657078	2.475830556	1.916881925	2.031293575	1.706690657	1.968084416	1.723093874	1.7577308	1.817039431	2.176665157	1.736755534	1.8452336	1.291730156	1.3930462	1.877224658	1.976569553
HMDB0000159	5.60800363	5.956597222	9.547372888	4.537531765	7.616388529	5.890090909	6.539223186	4.9157178	5.12276455	3.118420079	4.444029187	4.8727616	3.766390856	5.3239746	7.31540274	5.72056118
HMDB0000161	83.77842523	97.31680417	97.41849666	81.40601538	80.07795893	79.47954805	80.08324204	68.9013514	77.19319071	69.1896563	81.89259961	98.6403992	91.17971342	84.0358372	83.87313288	78.98304339
HMDB0000162	6.897703448	13.57363611	9.079200786	6.783573937	6.039373358	9.303420779	4.591761169	5.5025166	6.094641896	6.796931102	6.090038394	5.8070964	7.827247471	4.981816	5.306678082	6.320882778
HMDB0000168	4.374017967	2.955702778	3.391920825	3.565627692	4.574715634	4.590790909	4.24156984	5.6873054	3.356614787	1.86223563	3.446322821	3.7483474	3.220885214	4.272422	4.946426027	6.239035395
HMDB0000169	0.054594918	0.086211111	0.035965422	0.055337376	0.047574098	0.041094805	0.063849764	0.04137	0.03380436	0.074217913	0.024389618	0.0243306	0.032130545	0.073934	0.016871233	0.056765937
HMDB0000172	4.620215971	7.106604167	4.557898035	5.020014842	5.301512488	5.768753247	6.029241847	5.4472376	4.734876967	6.246357677	4.929053085	4.1739194	4.594338327	4.8116432	4.711041096	5.936640723
HMDB0000174	0.170479855	1.713294444	0.125279371	1.207714751	0.368496577	0.380277922	0.747825636	0.3572268	0.148228815	0.202368898	0.240505191	0.1278438	0.400145331	1.0277246	0.090142466	0.259387631
HMDB0000176	0.064670599	0.114251389	0.06101277	0.042971765	0.042850879	0.050755844	0.044032045	0.0620074	0.050881706	0.02491063	0.049050735	0.040138	0.053146887	0.0349846	0.041364384	0.040791817
HMDB0000177	6.965895644	8.443366667	6.905075049	6.574951131	6.927354117	8.032087013	4.558274647	6.6182634	5.724365118	5.895420669	6.082919099	6.285531	6.063393191	6.38365	6.779017808	6.666875928
HMDB0000182	1.980853902	3.405905556	4.589479175	3.124931765	2.403595375	3.240803896	3.291745712	3.1587976	3.231961706	2.653039961	2.403688932	2.27878	2.662891245	2.635332	2.571349315	3.248217127
